longitude,latitude,cod_cpue_2020_std,bathymetry_2020_std,bottom_temperature_2020_std,surface_net_primary_production_2020_std,fishing_activity_hours_2020_std,ship_density_route_2020_std,bottom_salinity_2020_std,bottom_dissolved_oxygen_2020_inv_std,dumping_site_2020,military_area_2020,wind_farm_2020,bedrock_seabed_2020,hard_bottom_seabed_2020,overlap_index_cod,hotspot,hotspot05
14.67765369,55.04932413,0.10112438,-1.007350727,0.936817126,-0.081186187,0.869511818,0.024520682,-0.725272734,-0.832404533,1,0,1,1,0,2.285759824,1,0.5
12.87765369,55.54932413,2.767513936,-1.348426956,1.488262373,0.071328987,-0.519577311,-0.354335476,-0.202826611,-0.774507015,0,0,0,1,0,2.127431927,1,0.5
11.87765369,57.24932413,-0.445542907,0.772102216,0.242880591,-0.372940793,2.299364517,-0.379390092,2.488499305,-0.290957265,0,0,0,0,1,5.314015571,1,0.5
10.07765369,54.54932413,-0.438064051,-0.747403153,1.179031647,-0.048661652,-0.293060621,-0.301189322,0.762313521,-0.107345908,0,1,0,0,1,2.005620461,1,0.5
10.07765369,54.64932413,-0.441366814,-0.942569472,1.198081404,-0.099787502,0.492825993,-0.350539323,0.671962888,-0.402068462,0,1,0,0,1,2.126538713,1,0.5
10.97765369,54.94932413,-0.44599169,-0.875207253,0.895199588,-0.13736692,-0.25821192,6.93048384,1.01156479,-0.508159161,0,0,0,0,1,7.612311273,1,0.5
11.57765369,57.34932413,-0.443532756,0.615320729,0.037175845,-0.406996369,2.156388755,1.653070701,2.542628158,-0.323418054,0,0,0,0,1,6.830637011,1,0.5
11.17765369,54.24932413,-0.356514478,-1.067462536,1.342302221,-0.01063465,0.772574892,-0.383945477,0.375819457,-0.461483305,0,1,0,0,1,2.210656123,1,0.5
11.67765369,56.94932413,-0.446663499,-0.174299114,0.683380769,-0.438245884,1.295625404,-0.024829319,2.412833016,-0.256198738,0,0,0,0,1,4.051602636,1,0.5
14.97765369,55.44932413,0.734278881,0.96878705,0.293928565,-0.281159267,-0.346612563,3.425874568,0.108905719,0.399305459,1,0,0,0,1,7.303308411,1,0.5
11.07765369,55.24932413,-0.44632043,-0.508904458,0.681652996,-0.160346735,0.498037315,4.330118425,1.497183112,-0.315365466,0,0,0,0,1,6.57605476,1,0.5
11.87765369,56.44932413,-0.428556493,-0.379689718,0.759668793,-0.446215286,3.669878254,-0.050643165,2.347948535,-0.066034668,0,0,1,0,1,7.406356252,1,0.5
10.87765369,54.84932413,-0.4389866,-0.871927383,0.976645079,-0.127164342,1.280407032,4.515370735,0.842236352,-0.566270024,0,0,0,0,1,6.610310849,1,0.5
