longitude,latitude,all_spp_cpue_2020_std,bathymetry_2020_std,bottom_temperature_2020_std,surface_net_primary_production_2020_std,fishing_activity_hours_2020_std,ship_density_route_2020_std,bottom_salinity_2020_std,bottom_dissolved_oxygen_2020_inv_std,dumping_site_2020,military_area_2020,wind_farm_2020,bedrock_seabed_2020,hard_bottom_seabed_2020,distance_class,distance_class_interpretation,hotspot
10.07765369,54.74932413,-0.624572565,-0.700661619,0.900008341,-0.169834317,0.695364196,-0.361927784,0.771730276,-0.222097509,0,0,0,0,1,15,high risk,1
20.57765369,55.04932413,-0.64934854,-0.82922035,0.697974726,1.60913757,-0.521591503,-0.395333938,-1.029061107,-0.874131791,0,0,0,0,1,28,high risk,1
11.87765369,57.24932413,-0.749764618,0.772102216,0.242880591,-0.372940793,2.299364517,-0.379390092,2.488499305,-0.290957265,0,0,0,0,1,34,high risk,1
15.57765369,54.24932413,-0.612695978,-1.065811719,0.580000935,1.444612914,-0.189505581,-0.336113938,-0.778233963,-0.814202627,0,0,0,0,1,28,high risk,1
10.07765369,54.64932413,-0.589840257,-0.942569472,1.198081404,-0.099787502,0.492825993,-0.350539323,0.671962888,-0.402068462,0,1,0,0,1,15,high risk,1
11.57765369,57.34932413,-0.704212761,0.615320729,0.037175845,-0.406996369,2.156388755,1.653070701,2.542628158,-0.323418054,0,0,0,0,1,34,high risk,1
11.17765369,54.24932413,-0.553615753,-1.067462536,1.342302221,-0.01063465,0.772574892,-0.383945477,0.375819457,-0.461483305,0,1,0,0,1,15,high risk,1
11.67765369,56.94932413,-0.663959595,-0.174299114,0.683380769,-0.438245884,1.295625404,-0.024829319,2.412833016,-0.256198738,0,0,0,0,1,34,high risk,1
14.97765369,55.44932413,-0.233111804,0.96878705,0.293928565,-0.281159267,-0.346612563,3.425874568,0.108905719,0.399305459,1,0,0,0,1,35,high risk,1
11.07765369,55.24932413,-0.60830296,-0.508904458,0.681652996,-0.160346735,0.498037315,4.330118425,1.497183112,-0.315365466,0,0,0,0,1,35,high risk,1
11.87765369,56.44932413,-0.516117252,-0.379689718,0.759668793,-0.446215286,3.669878254,-0.050643165,2.347948535,-0.066034668,0,0,1,0,1,38,high risk,1
10.87765369,54.84932413,-0.604715615,-0.871927383,0.976645079,-0.127164342,1.280407032,4.515370735,0.842236352,-0.566270024,0,0,0,0,1,35,high risk,1
11.57765369,56.54932413,-0.505793093,-0.474513402,0.936317059,-0.444527498,2.309819005,-0.320929322,2.354945176,-0.061198919,0,0,0,0,1,34,high risk,1
11.87765369,56.74932413,-0.67163965,-0.173196011,0.563169088,-0.448465119,4.400486464,4.95040997,2.429705898,-0.171369386,0,0,0,0,1,38,high risk,1
11.27765369,54.24932413,-0.455381788,-0.808229044,1.052236279,-0.015625566,0.10507797,-0.304226245,0.553174048,-0.295411015,0,1,0,0,1,15,high risk,1
11.17765369,54.34932413,-0.268479053,-1.065804675,1.50114787,0.001009157,0.595549789,-0.204767013,0.269261838,-0.567951391,0,1,0,0,1,15,high risk,1
11.37765369,57.24932413,-0.552348138,1.097528586,0.275308102,-0.388344285,3.768573666,-0.335354707,2.509191755,-0.303620173,0,0,0,0,1,38,high risk,1
10.87765369,54.74932413,-0.42857082,-0.88501574,1.029205966,-0.08262166,-0.439105545,2.376617633,0.801174092,-0.543510762,0,0,0,0,1,35,high risk,1
11.37765369,57.44932413,-0.336499549,-0.212500055,0.581873884,-0.376425105,5.148742513,4.146384576,2.460210339,-0.408822122,0,0,0,0,1,38,high risk,1
15.07765369,54.14932413,-0.307241872,-0.953803915,0.894607499,1.960261943,-0.520600392,-0.378630861,-0.791046593,-0.802108394,0,0,0,0,1,28,high risk,1
11.27765369,57.34932413,-0.183871584,-0.22799032,0.931412652,-0.336023152,3.320879514,-0.323207015,2.273237012,-0.430422182,0,0,0,0,1,38,high risk,1
14.67765369,55.34932413,0.379125356,0.127675933,0.593190769,-0.26636709,2.161376246,2.340174555,-0.236817863,-0.373672556,0,0,0,0,1,35,high risk,1
17.77765369,55.64932413,0.732231248,0.235797801,-1.689509319,-0.233829418,-0.351408258,-0.3672424,-0.734216823,0.249908775,0,0,1,0,1,21,high risk,1
