longitude,latitude,hotspot
16.22765369,56.49932413,0
16.32765369,56.49932413,0
16.62765369,56.49932413,0
16.72765369,56.49932413,0
16.82765369,56.49932413,1
16.92765369,56.49932413,1
17.02765369,56.49932413,1
17.12765369,56.49932413,1
17.22765369,56.49932413,1
17.32765369,56.49932413,1
17.42765369,56.49932413,1
17.52765369,56.49932413,1
17.62765369,56.49932413,1
17.72765369,56.49932413,1
17.82765369,56.49932413,1
17.92765369,56.49932413,1
16.12765369,56.39932413,0
16.22765369,56.39932413,0
16.32765369,56.39932413,0
16.62765369,56.39932413,1
16.72765369,56.39932413,1
16.82765369,56.39932413,1
16.92765369,56.39932413,1
17.02765369,56.39932413,1
17.12765369,56.39932413,1
17.22765369,56.39932413,1
17.32765369,56.39932413,1
17.42765369,56.39932413,1
17.52765369,56.39932413,1
17.62765369,56.39932413,1
17.72765369,56.39932413,1
17.82765369,56.39932413,1
17.92765369,56.39932413,1
16.12765369,56.29932413,0
16.22765369,56.29932413,0
16.32765369,56.29932413,0
16.52765369,56.29932413,1
16.62765369,56.29932413,1
16.72765369,56.29932413,1
16.82765369,56.29932413,1
16.92765369,56.29932413,1
17.02765369,56.29932413,1
17.12765369,56.29932413,1
17.22765369,56.29932413,1
17.32765369,56.29932413,1
17.42765369,56.29932413,1
17.52765369,56.29932413,1
17.62765369,56.29932413,1
17.72765369,56.29932413,1
17.82765369,56.29932413,1
17.92765369,56.29932413,1
16.02765369,56.19932413,0
16.12765369,56.19932413,0
16.22765369,56.19932413,0
16.32765369,56.19932413,0
16.42765369,56.19932413,0
16.52765369,56.19932413,1
16.62765369,56.19932413,1
16.72765369,56.19932413,1
16.82765369,56.19932413,1
16.92765369,56.19932413,1
17.02765369,56.19932413,1
17.12765369,56.19932413,1
17.22765369,56.19932413,1
17.32765369,56.19932413,1
17.42765369,56.19932413,1
17.52765369,56.19932413,1
17.62765369,56.19932413,1
17.72765369,56.19932413,1
17.82765369,56.19932413,1
17.92765369,56.19932413,1
14.72765369,56.09932413,0
14.82765369,56.09932413,0
14.92765369,56.09932413,0
15.02765369,56.09932413,0
15.12765369,56.09932413,0
15.22765369,56.09932413,0
15.32765369,56.09932413,0
15.42765369,56.09932413,0
15.52765369,56.09932413,0
15.62765369,56.09932413,0
15.72765369,56.09932413,0
15.92765369,56.09932413,0
16.02765369,56.09932413,0
16.12765369,56.09932413,0
16.22765369,56.09932413,0
16.32765369,56.09932413,0
16.42765369,56.09932413,1
16.52765369,56.09932413,1
16.62765369,56.09932413,1
16.72765369,56.09932413,1
16.82765369,56.09932413,1
16.92765369,56.09932413,1
17.02765369,56.09932413,1
17.12765369,56.09932413,1
17.22765369,56.09932413,1
17.32765369,56.09932413,1
17.42765369,56.09932413,1
17.52765369,56.09932413,1
17.62765369,56.09932413,1
17.72765369,56.09932413,1
17.82765369,56.09932413,1
17.92765369,56.09932413,1
14.52765369,55.99932413,0
14.62765369,55.99932413,0
14.82765369,55.99932413,0
14.92765369,55.99932413,0
15.02765369,55.99932413,0
15.12765369,55.99932413,0
15.22765369,55.99932413,0
15.32765369,55.99932413,0
15.42765369,55.99932413,0
15.52765369,55.99932413,0
15.62765369,55.99932413,0
15.72765369,55.99932413,0
15.82765369,55.99932413,0
15.92765369,55.99932413,0
16.02765369,55.99932413,0
16.12765369,55.99932413,0
16.22765369,55.99932413,0
16.32765369,55.99932413,0
16.42765369,55.99932413,1
16.52765369,55.99932413,1
16.62765369,55.99932413,1
16.72765369,55.99932413,1
16.82765369,55.99932413,1
16.92765369,55.99932413,1
17.02765369,55.99932413,1
17.12765369,55.99932413,1
17.22765369,55.99932413,1
17.32765369,55.99932413,1
17.42765369,55.99932413,1
17.52765369,55.99932413,1
17.62765369,55.99932413,1
17.72765369,55.99932413,1
17.82765369,55.99932413,1
17.92765369,55.99932413,1
14.32765369,55.89932413,0
14.42765369,55.89932413,0
14.52765369,55.89932413,0
14.62765369,55.89932413,0
14.72765369,55.89932413,0
14.82765369,55.89932413,0
14.92765369,55.89932413,0
15.02765369,55.89932413,0
15.12765369,55.89932413,0
15.22765369,55.89932413,0
15.32765369,55.89932413,0
15.42765369,55.89932413,0
15.52765369,55.89932413,0
15.62765369,55.89932413,0
15.72765369,55.89932413,0
15.82765369,55.89932413,0
15.92765369,55.89932413,0
16.02765369,55.89932413,0
16.12765369,55.89932413,0
16.22765369,55.89932413,0
16.32765369,55.89932413,0
16.42765369,55.89932413,1
16.52765369,55.89932413,1
16.62765369,55.89932413,1
16.72765369,55.89932413,1
16.82765369,55.89932413,1
16.92765369,55.89932413,1
17.02765369,55.89932413,1
