"longitude","latitude","all_spp_cpue_2020_std","bathymetry_2020_std","bottom_temperature_2020_std","surface_net_primary_production_2020_std","fishing_activity_hours_2020_std","ship_density_route_2020_std","bottom_salinity_2020_std","bottom_dissolved_oxygen_2020_inv_std","dumping_site_2020","military_area_2020","wind_farm_2020","bedrock_seabed_2020","hard_bottom_seabed_2020","distance_class","distance_class_interpretation"
14.67765369,55.04932413,-0.526832221738235,-1.00735072742503,0.936817126133243,-0.08118618741561,0.869511817760426,0.0245206818489719,-0.725272733939262,-0.832404532966073,1,0,1,1,0,14,"medium attention"
14.57765369,54.94932413,-0.526832221738235,-0.872178354602845,1.042508588736,-0.138359769124789,-0.410491225689218,-0.343706245551132,-0.753607293821269,-0.846295530670571,0,0,0,1,0,2,"medium attention"
14.67765369,54.94932413,-0.606718820182424,-0.942380288360773,1.06381288403493,-0.11892468060584,-0.229725476952323,-0.273097783183689,-0.760110817821906,-0.858113209079239,0,0,0,1,0,2,"medium attention"
14.27765369,54.74932413,-0.506235612061376,-0.972458745565654,0.970960301523225,0.0403733400406377,-0.408029435380311,-0.389260092239805,-0.76454770219649,-0.856253498177191,0,1,0,0,1,4,"medium attention"
14.47765369,53.74932413,-0.750112641668888,-1.35546720662224,1.58299535180917,4.51659627724805,-0.50909072293665,-0.393815476908672,-1.78736557385864,-0.932851483027796,0,0,0,0,1,5,"low attention"
12.57765369,55.24932413,-0.721116859981359,-0.699656787495807,1.29958344571463,-0.163073578854294,-0.497517111034801,-0.366483168895468,-0.201699079216071,-0.72029701955863,0,0,0,0,1,18,"medium attention"
12.27765369,55.14932413,-0.719506068965962,-1.17919352604837,1.51816406250323,-0.0618377864060699,-0.502472663594755,-0.360409322670312,-0.472347268052303,-0.809701409799473,0,0,0,0,1,18,"medium attention"
14.47765369,54.94932413,-0.608118657507583,-0.712338705030873,0.913778337909299,-0.134449798062803,-0.503847428971991,-0.355853938001445,-0.6840340014597,-0.778986706152118,0,0,0,0,1,18,"medium attention"
12.67765369,55.24932413,-0.71266337248781,-0.755190131771638,1.20807305196899,-0.166387301529413,-0.470277564959812,0.0457791436370191,-0.486377479861048,-0.763374381899932,0,0,0,0,1,18,"medium attention"
12.87765369,55.14932413,-0.683004758853503,-0.373176170247628,1.15965315331276,-0.187856560990635,-0.468519140113462,0.320620685325344,-0.285849616452725,-0.628344953200645,0,0,0,0,1,18,"medium attention"
12.07765369,54.54932413,-0.659089659817689,-1.11839831538376,1.32564079649499,0.039614923850934,-0.512543624269089,-0.351298553332577,-0.0598012161461938,-0.699986435683328,0,0,0,0,1,18,"medium attention"
12.17765369,54.64932413,-0.636496752002069,-0.907326564783234,1.24708249407147,-0.00959672704436474,-0.460973915870305,-0.382427015236504,0.0628856075239677,-0.617670365519373,0,0,0,0,1,18,"medium attention"
12.67765369,55.14932413,-0.655775921829655,-0.540601033267292,1.25373955662069,-0.197393779307718,-0.482234828977374,-0.0498839344091934,-0.218614962540955,-0.67705676735771,0,0,0,0,1,18,"medium attention"
12.67765369,55.04932413,-0.652206821209575,-0.699330640490566,1.27357997621535,-0.218740126842847,-0.381397346614574,-0.220710859491716,-0.255766592077606,-0.692843921377678,0,0,0,0,1,18,"medium attention"
12.77765369,54.94932413,-0.612912072901548,-0.421509642395628,1.13740805452152,-0.222914906658409,0.0809716396162768,-0.351298553332577,-0.245693428161806,-0.667780905920721,0,0,0,0,1,18,"medium attention"
12.97765369,55.14932413,-0.66335587718237,-0.353727631098248,1.04157202309726,-0.188150490133278,-0.486103356605657,0.288732992643273,-0.331282121552476,-0.616334021980223,0,0,0,0,1,18,"medium attention"
12.17765369,54.74932413,-0.631803638093112,-1.00717440617172,1.31801387088613,0.0474159116943251,-0.514078246799317,-0.381667784458359,-0.179444779471802,-0.711058242514721,0,0,0,0,1,18,"medium attention"
12.27765369,54.84932413,-0.656447325536722,-0.814473886232059,1.26522474520028,-0.0101298353237067,-0.515996524642389,-0.396093169243105,-0.0823580459687683,-0.635930183557841,0,0,0,0,1,18,"medium attention"
12.57765369,55.04932413,-0.599794242194066,-0.798292354554688,1.33461959739236,-0.182692147258931,-0.490163712369931,-0.347502399441855,-0.350602183079072,-0.739571690699403,0,0,0,0,1,18,"medium attention"
