longitude,latitude,all_spp_cpue_2020,five_spp_cpue_2020,cod_cpue_2020,all_spp_old_2020,five_spp_old_2020,cod_old_2020,bathymetry_2020,bottom_temperature_2020,cod_spawning_area_2020,dumping_site_2020,military_area_2020,surface_net_primary_production_2020,bottom_dissolved_oxygen_2020,fishing_activity_hours_2020,seabed_type_2020,ship_density_route_2020,bottom_salinity_2020,wind_farm_2020
12.87765369,55.14932413,51838.98,47246.07,23425.689,125.30494,90.112144,27.069315,32.809612,10.787903,0.5,0,0,2906.4287,293.16797,16.6,2,944,11.942531,0
20.57765369,55.34932413,76524.719,57568.285,14548.25,127.2109,80.11544,32.169582,34.939434,8.2353001,0,0,0,3187.7332,326.00787,3.8800001,2,7,7.3145905,0
11.87765369,57.24932413,22079.699,14362.277,233.24445,135.89514,50.763985,6.1218615,65.488007,9.2735968,0,0,0,2301.9893,256.40244,882.34003,2,22,33.878342,0
20.77765369,56.44932413,241987.53,73664,12040,137.68593,49.870239,18.461435,18.335564,9.7573824,0,0,1,3181.8992,333.50104,0.81999999,2,123,7.1463585,0
12.07765369,54.54932413,62499.52,50790.301,574.62567,137.78023,85.915977,8.3428078,11.54608,11.062078,0,0,0,3649.2944,302.37457,2.8299999,2,59,13.729817,0
12.17765369,54.64932413,72570.672,61541.539,768.65137,137.78023,85.915977,4.0393143,17.568621,10.932317,0,0,0,3488.5813,291.84396,18.959999,2,18,14.699859,0
11.87765369,54.44932413,53424.25,48803.371,276.09222,138.24323,96.664314,5.0532894,18.581278,10.893208,0,0,0,3447.8633,281.32202,9.0200005,2,141,16.734142,0
12.67765369,55.14932413,63976.672,60442.254,35519,140.13951,107.78572,30.328234,28.032454,10.943313,0.5,0,0,2875.2825,299.3656,12.31,2,456,12.474132,0
12.47765369,55.54932413,70559.797,37337.168,26836.4,140.27588,91.342957,37.312881,8.60991,11.32448,0,0,0,3606.8865,315.80698,28.08,2,1383,11.603271,0
15.57765369,54.24932413,83180.25,44589.707,29925.979,142.53307,83.372803,31.380526,13.046541,9.8304453,0,0,0,8237.6709,318.31125,103.87,2,79,8.0494194,0
