"longitude","latitude","five_spp_cpue_2020_std","bathymetry_2020_std","bottom_temperature_2020_std","surface_net_primary_production_2020_std","fishing_activity_hours_2020_std","ship_density_route_2020_std","bottom_salinity_2020_std","bottom_dissolved_oxygen_2020_inv_std","dumping_site_2020","military_area_2020","wind_farm_2020","bedrock_seabed_2020","hard_bottom_seabed_2020","distance_class","distance_class_interpretation"
14.67765369,55.04932413,-0.0318393374810334,-1.00735072742503,0.936817126133243,-0.08118618741561,0.869511817760426,0.0245206818489719,-0.725272733939262,-0.832404532966073,1,0,1,1,0,10,"medium risk"
14.57765369,54.94932413,-0.0318393374810334,-0.872178354602845,1.042508588736,-0.138359769124789,-0.410491225689218,-0.343706245551132,-0.753607293821269,-0.846295530670571,0,0,0,1,0,10,"medium risk"
14.67765369,54.94932413,-0.240438337084661,-0.942380288360773,1.06381288403493,-0.11892468060584,-0.229725476952323,-0.273097783183689,-0.760110817821906,-0.858113209079239,0,0,0,1,0,10,"medium risk"
12.87765369,55.54932413,2.55230466428203,-1.34842695587151,1.48826237312815,0.0713289872765124,-0.519577310546254,-0.354335476445156,-0.202826610841526,-0.774507015039359,0,0,0,1,0,2,"high risk"
19.57765369,56.04932413,-0.610457656273842,0.309082289679076,-1.58296096255592,-0.375414097288393,-0.51880999928114,-0.384704707570937,-0.77774618394631,-0.577547196881399,0,0,0,0,1,16,"low risk"
14.27765369,54.74932413,0.0305105602782895,-0.972458745565654,0.970960301523225,0.0403733400406377,-0.408029435380311,-0.389260092239805,-0.76454770219649,-0.856253498177191,0,1,0,0,1,24,"medium risk"
20.27765369,55.44932413,-0.482095313405323,0.0794318304173562,-1.27229354339553,-0.223942020444392,-0.521591502617178,-0.352057784110722,-0.80826788958255,-0.699532084503957,0,0,0,0,1,16,"low risk"
10.77765369,54.44932413,-0.553356492962198,-1.06557311976352,1.44005799959628,-0.229172207673169,-0.509314522695067,-0.376353169011347,0.585573855864976,-0.523094641574507,0,1,0,0,1,15,"medium risk"
10.97765369,54.44932413,-0.553356492962198,-1.3149166022595,1.44609936256269,0.0713385103480158,0.160164588407883,-0.373316245898769,0.207071038121563,-0.747773241423166,0,0,0,0,1,9,"high risk"
16.67765369,54.94932413,-0.441006337960864,-0.953998986285052,0.935750397849165,-0.179324133889999,-0.516540036788511,-0.37179778434248,-0.83141833350317,-0.896027329142242,0,0,0,0,1,24,"medium risk"
